target_id,x,y,weight,cell_count,local_risk,service_time
54,186.0,44.0,2.40628,1,0.088237,1.0
83,50.0,69.0,2.35657,1,0.50511,1.0
382,216.6576,391.0,2.35591,2,0.04014,1.0
52,212.0,42.0,2.35401,1,0.019037,1.0
105,116.0,88.0,2.3256,1,0.053042,1.0
237,42.0,225.0,2.32374,1,0.123502,1.0
25,190.0,20.0,2.32039,1,0.016936,1.0
350,133.0,354.0,2.28833,1,0.192107,1.0
27,100.0,21.0,2.2679,1,0.042756,1.0
279,217.0,270.0,2.26753,1,0.034541,1.0
113,28.0,93.0,2.24841,1,0.089145,1.0
242,185.0,230.0,2.22444,1,0.236848,1.0
315,207.0,320.0,2.20125,1,0.012696,1.0
19,171.0,17.0,2.19327,1,0.047835,1.0
127,134.0,117.512,2.16451,2,0.016639,1.0
177,123.0,161.0,2.14444,1,0.03235,1.0
67,23.0,56.0,2.12417,1,0.269275,1.0
117,73.0,102.0,2.09676,1,0.056625,1.0
263,81.0,252.0,2.09518,1,0.062393,1.0
216,223.0,197.0,2.09069,1,0.222382,1.0
344,31.0,349.0,2.0807,1,0.487748,1.0
142,124.0,131.0,2.05488,1,0.034543,1.0
230,167.0,213.0,2.01658,1,0.187781,1.0
366,82.0,371.0,2.00618,1,0.059811,1.0
42,12.0,35.0,1.98643,1,0.070511,1.0
166,162.0,154.0,1.98496,1,0.047833,1.0
262,134.0,251.0,1.96488,1,0.045402,1.0
43,40.0,36.0,1.95782,1,0.333314,1.0
306,113.0,307.0,1.94151,1,0.026682,1.0
313,39.0,318.0,1.92829,1,0.112554,1.0
325,31.0,328.0,1.89457,1,0.195014,1.0
195,202.0,178.0,1.88611,1,0.188638,1.0
62,224.0,51.0,1.84477,1,0.024253,1.0
18,104.0,17.0,1.83601,1,0.047634,1.0
304,78.0,302.0,1.82981,1,0.035853,1.0
379,194.0,388.0,1.81934,1,0.055651,1.0
20,140.0,18.0,1.79263,1,0.107818,1.0
82,192.0,68.0,1.78089,1,0.040134,1.0
96,124.0,83.0,1.76353,1,0.092974,1.0
153,25.0,141.0,1.76204,1,0.023625,1.0
383,182.0,392.0,1.70646,1,0.050763,1.0
80,170.0,68.0,1.69178,1,0.213573,1.0
308,161.0,311.0,1.68025,1,0.101104,1.0
123,24.0,110.0,1.6671,1,0.047251,1.0
16,12.0,16.0,1.667,1,0.01664,1.0
256,201.0,239.0,1.66627,1,0.132064,1.0
310,133.0,314.0,1.66535,1,0.02499,1.0
34,164.0,29.0,1.64874,1,0.173977,1.0
44,8.0,37.0,1.64631,1,0.062035,1.0
175,155.0,158.0,1.58225,1,0.041759,1.0
29,146.0,23.0,1.55938,1,0.182189,1.0
253,144.0,238.0,1.545,1,0.025793,1.0
245,6.0,232.0,1.53801,1,0.398169,1.0
4,22.0,7.0,1.5288,1,0.027562,1.0
41,172.0,33.0,1.52536,1,0.155082,1.0
228,199.0,210.0,1.50426,1,0.652768,1.0
214,185.0,196.0,1.44695,1,0.454326,1.0
23,113.0,19.0,1.44636,1,0.035222,1.0
65,229.0,53.0,1.43563,1,0.026415,1.0
367,41.0,372.0,1.41948,1,0.460531,1.0
47,145.0,38.0,1.37839,1,0.47859,1.0
24,121.0,20.0,1.37435,1,0.084226,1.0
139,224.0,126.0,1.36452,1,0.014208,1.0
231,42.0,217.0,1.36193,1,0.144904,1.0
171,24.0,156.0,1.3512,1,0.036686,1.0
107,6.0,89.0,1.33833,1,0.028766,1.0
316,76.0,321.0,1.32858,1,0.064916,1.0
70,111.0,57.0,1.31256,1,0.139356,1.0
160,92.0,149.0,1.30988,1,0.033487,1.0
243,24.0,231.0,1.3067,1,0.326775,1.0
276,134.0,268.0,1.3024,1,0.012046,1.0
238,163.0,227.0,1.29738,1,0.080624,1.0
12,38.0,14.0,1.29361,1,0.084182,1.0
57,190.0,45.0,1.28008,1,0.03531,1.0
112,211.0,92.0,1.24034,1,0.033389,1.0
284,209.0,278.0,1.21423,1,0.009022,1.0
7,11.0,9.0,1.19737,1,0.03352,1.0
3,86.0,6.0,1.18927,1,0.03355,1.0
71,154.0,58.0,1.17777,1,0.579674,1.0
32,180.0,27.0,1.13302,1,0.064333,1.0
269,207.0,263.0,1.12992,1,0.046122,1.0
299,162.0,297.0,1.11255,1,0.031633,1.0
222,199.0,204.0,1.11196,1,0.653312,1.0
28,90.0,23.0,1.11188,1,0.030071,1.0
51,195.0,42.0,1.10656,1,0.043753,1.0
141,70.0,128.0,1.09969,1,0.001109,1.0
189,45.0,174.0,1.09959,1,0.028602,1.0
168,14.0,155.0,1.07192,1,0.003544,1.0
206,163.0,189.0,1.05724,1,0.082649,1.0
48,79.0,39.0,1.05215,1,0.093158,1.0
277,191.0,268.0,1.04801,1,0.031918,1.0
151,198.0,139.0,1.02792,1,0.041496,1.0
220,66.0,202.0,0.99825,1,0.193651,1.0
26,221.0,20.0,0.97981,1,0.03112,1.0
152,19.0,141.0,0.96771,1,0.020054,1.0
274,36.0,268.0,0.93925,1,0.04535,1.0
219,218.0,200.0,0.93826,1,0.305427,1.0
239,80.0,229.0,0.93428,1,0.270426,1.0
190,213.0,174.0,0.93199,1,0.119677,1.0
293,171.0,290.0,0.92573,1,0.026348,1.0
155,103.0,142.0,0.92438,1,0.032187,1.0
264,153.0,253.0,0.90881,1,0.048543,1.0
